,facility_name,address,community_area,phone_number,zipcode,operation_time,longitude,latitude,x_coordinate,y_coordinate,service_type,notes
0,A.M. Bus Company,100 W 91ST ST,ROSELAND,7733965556,60620,,-87.6265663,41.7291099,1177171.4675969,1844670.9487240002,family support (children services),Head Start Support Services
1,McKinley-Ersula Howard,7222 S EXCHANGE AVE,SOUTH SHORE,7732219711,60649,,-87.5647275,41.76379779999999,1193938.4160504,1857455.5996721,family support (children services),Child Care Only
2,McKinley-Maggie Drummond,4301 S WABASH AVE,GRAND BOULEVARD,7733738200,60653,,-87.62450559999999,41.81642539999999,1177471.7477859,1876492.6834014999,family support (children services),Child Care Only
3,Children's Center (Halsted),12803 S HALSTED ST,WEST PULLMAN,7732645171,60628,,-87.6412084,41.6612676,1173373.3538352,1819917.5693245,family support (children services),Early Head Start
4,Children's Center (Western),7956 S WESTERN AVE,ASHBURN,7734768805,60620,,-87.68295309999999,41.74839179999999,1161726.7759037,1851575.7208388,family support (children services),Early Head Start
5,Montessori Academy,11025 S HALSTED ST,ROSELAND,7734680033,60628,,-87.64226490000001,41.6934105,1172990.7188443001,1831627.7101645,family support (children services),Early Head Start
6,Children's Center (Halsted),12803 S HALSTED ST,WEST PULLMAN,7732645171,60628,,-87.6412084,41.6612676,1173373.3538352,1819917.5693245,family support (children services),Early Head Start – Child Care Partnership
7,Children's Center (Western),7956 S WESTERN AVE,ASHBURN,7734768805,60620,,-87.68295309999999,41.74839179999999,1161726.7759037,1851575.7208388,family support (children services),Early Head Start – Child Care Partnership
8,J & L Family Learning Day Care,11640 S WENTWORTH AVE,WEST PULLMAN,7738211808,60628,,-87.6277358,41.6821978,1176992.3104918,1827574.1163402,family support (children services),Early Head Start – Child Care Partnership
9,Little Hands,7146 S ASHLAND AVE,WEST ENGLEWOOD,7734710662,60636,,-87.6638933,41.763511,1166884.9951001,1857124.9398148998,family support (children services),Early Head Start – Child Care Partnership
10,Precious Little Ones - 47th,624 E 47TH ST,GRAND BOULEVARD,7732682685,60653,,-87.6103618,41.80958820000001,1181348.2268436002,1874033.3782898998,family support (children services),Early Head Start – Child Care Partnership
11,Precious Little Ones - 51st,221 E 51ST ST,WASHINGTON PARK,7732859902,60615,,-87.62017540000001,41.8019313,1178695.9481481002,1871220.8880945998,family support (children services),Early Head Start – Child Care Partnership
12,Precious Little Ones - 63rd,22 E 63RD ST,WASHINGTON PARK,7738915055,60637,,-87.6244862,41.7801453,1177586.0416370002,1863272.4675592,family support (children services),Early Head Start – Child Care Partnership
13,Children's Center (Western),7956 S WESTERN AVE,ASHBURN,7734768805,60620,,-87.68295309999999,41.74839179999999,1161726.7759037,1851575.7208388,family support (children services),Early Head Start – RTL
14,Montessori Academy 2,10232 S HALSTED ST,WASHINGTON HEIGHTS,7732331100,60628,,-87.64300279999999,41.7077405,1172747.3133816998,1836847.7492580002,family support (children services),Early Head Start – RTL
15,Precious Little Ones - 47th,624 E 47TH ST,GRAND BOULEVARD,7732682685,60653,,-87.6103618,41.80958820000001,1181348.2268436002,1874033.3782898998,family support (children services),Early Head Start – RTL
16,Precious Little Ones - 63rd,22 E 63RD ST,WASHINGTON PARK,7738915055,60637,,-87.6244862,41.7801453,1177586.0416370002,1863272.4675592,family support (children services),Early Head Start – RTL
17,Children's Center (Halsted),12803 S HALSTED ST,WEST PULLMAN,7732645171,60628,,-87.6412084,41.6612676,1173373.3538352,1819917.5693245,family support (children services),Head Start
