SITE TYPE,SITE NAME,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,LOCATION
Community Service Center,North Area Center,M-F 9am-5pm,845 W. Wilson Avenue,Chicago,IL,60640,312-744-2580,"4740 N. Sheridan Road
Chicago, IL 60640
(41.9651899, -87.6542161)"
Community Service Center,Trina Davila Center,M-F 9am-5pm,4312 W. North Avenue,Chicago,IL,60639,312-744-2014,"4357 W. Armitage Avenue
Chicago, IL 60639
(41.9098392, -87.7364671)"
Library,Manning,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",6 S. Hoyne Avenue,CHICAGO,IL,60612,(312) 746-6800,"6 S. Hoyne Avenue
CHICAGO, IL 60612
(41.881146196000486, -87.67912029999968)"
Police Station,District 6,Open Saturday and Sunday,7808 S Halsted St,Chicago,IL,60620,312-745-3617,"7808 S Halsted St
Chicago, IL 60620
(41.7522402350005, -87.64409240799966)"
Library,Roosevelt,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",1101 W. Taylor Street,CHICAGO,IL,60607,(312) 746-5656,"1101 W. Taylor Street
CHICAGO, IL 60607
(41.86946050300048, -87.65444019499967)"
Library,Sulzer Regional,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",4455 N. Lincoln Avenue,CHICAGO,IL,60625,(312) 744-7616,"4455 N. Lincoln Avenue
CHICAGO, IL 60625
(41.962556161000464, -87.68454845799965)"
Police Station,District 8,Open Saturday and Sunday,3420 W 63rd St,Chicago,IL,60629,312-747-8730,"3420 W 63rd St
Chicago, IL 60629
(41.778891108000494, -87.70887055699967)"
Police Station,District 16,Open Saturday and Sunday,5151 N Milwaukee Ave,Chicago,IL,60630,312-742-4480,"5151 N Milwaukee Ave
Chicago, IL 60630
(41.97407614400049, -87.76627061299968)"
Community Service Center,South Chicago Center,M-F 9am-5pm,8650 S. Commercial Avenue,Chicago,IL,60617,312-747-0500,"8650 S. Commercial Avenue
Chicago, IL 60617
(41.73767051100049, -87.55143075999968)"
Library,North Pulaski,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",4300 W. North Avenue,CHICAGO,IL,60639,(312) 744-9573,"4300 W. North Avenue
CHICAGO, IL 60639
(41.90979038600045, -87.73432101799966)"
