Agency,Program Model,Division,Site Name,Address,Street Number,Street Direction,Street Name,Street Type,Address Line 2,City,State,ZIP,Phone Number,Phone Extension,Ward,Community Area,Community Area Number,X Coordinate,Y Coordinate,Latitude,Longitude,Location
A.M. Bus Company,Head Start Support Services,Children Services,A.M. Bus Company,100 W 91ST ST,100,W,91ST,ST,,Chicago,IL,60620,7733965556,,21,ROSELAND,49,1177171.4675969,1844670.948724,41.7291099,-87.6265663,"(41.7291099, -87.6265663)"
"Ada S. McKinley Community Services, Inc.",Child Care Only,Children Services,McKinley-Ersula Howard,7222 S EXCHANGE AVE,7222,S,EXCHANGE,AVE,,Chicago,IL,60649,7732219711,,7,SOUTH SHORE,43,1193938.4160504,1857455.5996721,41.7637978,-87.5647275,"(41.7637978, -87.5647275)"
"Ada S. McKinley Community Services, Inc.",Child Care Only,Children Services,McKinley-Maggie Drummond,4301 S WABASH AVE,4301,S,WABASH,AVE,,Chicago,IL,60653,7733738200,,3,GRAND BOULEVARD,38,1177471.7477859,1876492.6834015,41.8164254,-87.6245056,"(41.8164254, -87.6245056)"
"Ada S. McKinley Community Services, Inc.",Early Head Start,Children Services,Children's Center (Halsted),12803 S HALSTED ST,12803,S,HALSTED,ST,,Chicago,IL,60628,7732645171,,34,WEST PULLMAN,53,1173373.3538352,1819917.5693245,41.6612676,-87.6412084,"(41.6612676, -87.6412084)"
"Ada S. McKinley Community Services, Inc.",Early Head Start,Children Services,Children's Center (Western),7956 S WESTERN AVE,7956,S,WESTERN,AVE,,Chicago,IL,60620,7734768805,,18,ASHBURN,70,1161726.7759037,1851575.7208388,41.7483918,-87.6829531,"(41.7483918, -87.6829531)"
"Ada S. McKinley Community Services, Inc.",Early Head Start,Children Services,Montessori Academy,11025 S HALSTED ST,11025,S,HALSTED,ST,,Chicago,IL,60628,7734680033,,34,ROSELAND,49,1172990.7188443,1831627.7101645,41.6934105,-87.6422649,"(41.6934105, -87.6422649)"
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Children Services,Children's Center (Halsted),12803 S HALSTED ST,12803,S,HALSTED,ST,,Chicago,IL,60628,7732645171,,34,WEST PULLMAN,53,1173373.3538352,1819917.5693245,41.6612676,-87.6412084,"(41.6612676, -87.6412084)"
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Children Services,Children's Center (Western),7956 S WESTERN AVE,7956,S,WESTERN,AVE,,Chicago,IL,60620,7734768805,,18,ASHBURN,70,1161726.7759037,1851575.7208388,41.7483918,-87.6829531,"(41.7483918, -87.6829531)"
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Children Services,J & L Family Learning Day Care,11640 S WENTWORTH AVE,11640,S,WENTWORTH,AVE,,Chicago,IL,60628,7738211808,,34,WEST PULLMAN,53,1176992.3104918,1827574.1163402,41.6821978,-87.6277358,"(41.6821978, -87.6277358)"
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Children Services,Little Hands,7146 S ASHLAND AVE,7146,S,ASHLAND,AVE,,Chicago,IL,60636,7734710662,,17,WEST ENGLEWOOD,67,1166884.9951001,1857124.9398149,41.763511,-87.6638933,"(41.763511, -87.6638933)"
