facility_name,address,phone_number,zipcode,service_type,notes
Olive Branch Mission - Program Operations,6310 S Claremont Ave,(773) 476-6200,60636,food pantry,"501(c)3 not-for-profit organization providing Food, Shelter, Housing &amp; Human Services to the Homeless. Olive Branch Mission is thread of character, compassion and conscience woven into the tapestry of Chicago.Food Services Program annually prepares and serves over 400,000 meals for homeless guests and hungry individuals and families across community. The Olive Branch kitchen provid"
A Just Harvest,7649 North Paulina St.,(773) 262-2297,60626,food pantry,Join us for dinner at the Community KitchenAll are welcome! There is no need for referrals or to present identification. Children and families are welcome.Doors open every day at 4:30 p.m. Dinner is served from 5:30 p.m. to 6:30 p.m. Monday through Friday and from 5 p.m. to 6 p.m. on the weekends and national holidays.Pick up fresh fruit and vegetables once per monthThe Pro
Common Pantry,3744 N. Damen Avenue,(773) 327-0553,60618,food pantry,"Hours:Wednesday 1:00pm - 4:00pm; 6:00pm - 8:00pmFor more information, please call. "
The Irving Park Community Food Pantry,3801 N. Keeler Ave.,(773) 283-6296,60641,food pantry,"Hours of Operation:Wednesday9:00am to 12:30pm2nd Tuesday of each month6:00pm - 7:30pmService Area: All of 60641 and a portion of 60618 West of Kedzie Ave. In addition to food distributions, the Pantry also offers the Pet Food Corner pet pantry, onsite assistance in applying for SNAP benefits, social services assistance, special distributions, h"
Lakeview Pantry,3831 N. Broadway St.,773-525-1777,60613,food pantry,"e understand that coming to a food pantry for the first time can sometimes be a difficult or confusing experience, but at Lakeview Pantry, we do our best to make you feel welcome and comfortable.Lakeview Pantry distributes food 6 days a week via 3 different programs:Our Lakeview Pantry Broadway Site, our Lakeview Pantry Oakdale Site and our Home Delivery program.For m"
Greater Chicago Food Depository,4100 W Ann Lurie Place,(773) 247-3663,60632,food pantry,"The Greater Chicago Food Depository is Cook County's local food bank. We provide food for hungry people while striving to end hunger in our community. For more information, please call."
Cornerstone Community Outreach Transitional Shelter for Homeless Families,4628 North Clifton Avenue,(773)506-6396,60640,food pantry,"Cornerstone Community Outreach was founded in 1989 by the long-standing church mission, Jesus People USA Evangelical Covenant Church. With the assistance of the City of Chicago, CCO purchased and rehabilitated what is now the CCO Shelter. The building accommodates a large kitchen and dining area, and a large dormitory for women and children. A one-million dollar renovation furnished us with the da"
Redeeming Grace Church Food Pantry,11801 S.Sangamon,773-995-7721,60643,food pantry,"Redeeming Grace Church Client choice Food pantry which is non-profit 501(c) located at 11801 S, Sangamon Chicago Il. Our Mission: To strengthen the community by distributing food to families in need. No families should have to face hunger.Every Saturday we serve the community of 60643 and 60628 zip code and neighboring communities. serving people is not a job it a joy. We also have pet food for th"
Ravenswood Community Services,4550 N. Hermitage,773-769-0282,60640,food pantry,"RCS operates a weekly Food PantryHours Tuesday5:30pm - 7:30pmThe Food Pantry is located inside All Saints Episcopal Church at the corner of Hermitage and Wilson in Chicago, entrance on Hermitage. RCS' pantry offers neighbors a choice of grocery items each week.The RCS Food Pantry hosts an average of 250 pantry visits and enjoys the volunteer efforts of an "
Redeeming Grace Pantry A00458,"11801 S,Sangamon",773-995-7721,60643,food pantry,"Redeeming Grace Church Client choice Food pantry which is non-profit 501(c) located at 11801 S, Sangamon Chicago Il. Our Mission: To strengthen the community by distributing food to families in need. No families should have to face hunger.Every Saturday we serve the community of 60643 and 60628 zip code and neighboring communities.The Mission Department goal is to serve. NO families should go wi"
