OBJECTID,PARK_NO,PARK,the_geom,FACILITY_N,FACILITY_T,X_COORD,Y_COORD,GISOBJID
1066,9,HAMILTON (ALEXANDER),POINT (-87.63769762611605 41.76299921071406),CULTURAL CENTER,SPECIAL,-87.63769763,41.76299921,2494
1067,9,HAMILTON (ALEXANDER),POINT (-87.63792902987225 41.76281652333733),GYMNASIUM,INDOOR,-87.63792903,41.76281652,2495
1068,9,HAMILTON (ALEXANDER),POINT (-87.63691359952921 41.76084938932824),BASEBALL JR/SOFTBALL,OUTDOOR,-87.6369136,41.76084939,2496
1069,9,HAMILTON (ALEXANDER),POINT (-87.63832013450852 41.76200535544225),BASEBALL JR/SOFTBALL,OUTDOOR,-87.63832013,41.76200536,2497
1070,9,HAMILTON (ALEXANDER),POINT (-87.63805916837423 41.760473845106304),BASEBALL JR/SOFTBALL,OUTDOOR,-87.63805917,41.76047385,2498
1071,9,HAMILTON (ALEXANDER),POINT (-87.63674047085885 41.76111277250026),BASEBALL JR/SOFTBALL,OUTDOOR,-87.63674047,41.76111277,2499
1072,9,HAMILTON (ALEXANDER),POINT (-87.6359054976673 41.761924615184846),POOL (OUTDOOR),OUTDOOR,-87.6359055,41.76192462,2500
1073,9,HAMILTON (ALEXANDER),POINT (-87.63686292205551 41.762619835913384),PLAYGROUND,OUTDOOR,-87.63686292,41.76261984,2501
1074,9,HAMILTON (ALEXANDER),POINT (-87.63660514607702 41.76312824964004),SPRAY FEATURE,OUTDOOR,-87.63660515,41.76312825,2502
1075,9,HAMILTON (ALEXANDER),POINT (-87.63842974936185 41.76119855500161),BASEBALL SR,OUTDOOR,-87.63842975,41.76119856,2503
1076,9,HAMILTON (ALEXANDER),POINT (-87.63700301507258 41.761912383626324),BASEBALL SR,OUTDOOR,-87.63700302,41.76191238,2504
1077,9,HAMILTON (ALEXANDER),POINT (-87.63562214880352 41.76304673246522),TENNIS COURT,OUTDOOR,-87.63562215,41.76304673,2505
1078,9,HAMILTON (ALEXANDER),POINT (-87.63583036537166 41.76303855288072),TENNIS COURT,OUTDOOR,-87.63583037,41.76303855,2506
1079,9,HAMILTON (ALEXANDER),POINT (-87.63601325403944 41.763039663057285),TENNIS COURT,OUTDOOR,-87.63601325,41.76303966,2507
1080,9,HAMILTON (ALEXANDER),POINT (-87.63617086599992 41.76304534104553),TENNIS COURT,OUTDOOR,-87.63617087,41.76304534,2508
1081,9,HAMILTON (ALEXANDER),POINT (-87.63634114069093 41.763046374157014),TENNIS COURT,OUTDOOR,-87.63634114,41.76304637,2509
1082,9,HAMILTON (ALEXANDER),POINT (-87.63635087135543 41.76273005885593),TENNIS COURT,OUTDOOR,-87.63635087,41.76273006,2510
1083,9,HAMILTON (ALEXANDER),POINT (-87.63616167658033 41.76272891095204),TENNIS COURT,OUTDOOR,-87.63616168,41.76272891,2511
1084,9,HAMILTON (ALEXANDER),POINT (-87.63599770850563 41.7627279158544),TENNIS COURT,OUTDOOR,-87.63599771,41.76272792,2512
1085,106,HAMLIN (HANNIBAL),POINT (-87.68030436443362 41.93675714691855),BASKETBALL COURT,OUTDOOR,-87.68030436,41.93675715,2513
1086,106,HAMLIN (HANNIBAL),POINT (-87.67917786526876 41.93654865287884),FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.67917787,41.93654865,2514
1088,106,HAMLIN (HANNIBAL),POINT (-87.68032910446819 41.93604307713284),DOG FRIENDLY AREA,OUTDOOR,-87.6803291,41.93604308,2516
1089,106,HAMLIN (HANNIBAL),POINT (-87.67982968492478 41.937481110855266),FITNESS CENTER,INDOOR,-87.67982968,41.93748111,2517
1090,106,HAMLIN (HANNIBAL),POINT (-87.68024830957748 41.93708947936905),GYMNASIUM,INDOOR,-87.68024831,41.93708948,2518
1091,106,HAMLIN (HANNIBAL),POINT (-87.67866497812392 41.93696155271616),BASEBALL JR/SOFTBALL,OUTDOOR,-87.67866498,41.93696155,2519
1092,106,HAMLIN (HANNIBAL),POINT (-87.67962215442877 41.936216303678314),BASEBALL JR/SOFTBALL,OUTDOOR,-87.67962215,41.9362163,2520
1093,106,HAMLIN (HANNIBAL),POINT (-87.68022837813001 41.93736144738786),POOL (OUTDOOR),OUTDOOR,-87.68022838,41.93736145,2521
1094,106,HAMLIN (HANNIBAL),POINT (-87.67930194094691 41.9374891106276),PLAYGROUND,OUTDOOR,-87.67930194,41.93748911,2522
1095,106,HAMLIN (HANNIBAL),POINT (-87.67961856447937 41.936909640197584),BASEBALL SR,OUTDOOR,-87.67961856,41.93690964,2523
1096,106,HAMLIN (HANNIBAL),POINT (-87.67866522109739 41.93625516304752),BASEBALL SR,OUTDOOR,-87.67866522,41.93625516,2524
1097,106,HAMLIN (HANNIBAL),POINT (-87.6803931962225 41.9362623962388),TENNIS COURT,OUTDOOR,-87.6803932,41.9362624,2525
1098,106,HAMLIN (HANNIBAL),POINT (-87.6802116214973 41.93626657644215),TENNIS COURT,OUTDOOR,-87.68021162,41.93626658,2526
1099,1111,HANSBERRY (LORRAINE),POINT (-87.62029752057006 41.79189637832688),PLAYGROUND PARK,OUTDOOR,-87.62029752,41.79189638,2527
1100,1106,HARDING (FREDERICK),POINT (-87.72480188746431 41.90240852987116),PLAYGROUND PARK,OUTDOOR,-87.72480189,41.90240853,2528
1101,1033,HARDING (GEORGE),POINT (-87.6183578861948 41.80501454892261),BASKETBALL COURT,OUTDOOR,-87.61835789,41.80501455,2529
1102,1033,HARDING (GEORGE),POINT (-87.6183667222086 41.80554793355552),PLAYGROUND,OUTDOOR,-87.61836672,41.80554793,2530
1103,1033,HARDING (GEORGE),POINT (-87.61843218596124 41.80521388014025),VOLLEYBALL,OUTDOOR,-87.61843219,41.80521388,2531
1104,524,HARRIS (HARRIET),POINT (-87.60489798068063 41.78173673760086),FITNESS CENTER,INDOOR,-87.60489798,41.78173674,2532
1105,524,HARRIS (HARRIET),POINT (-87.60471883114481 41.781529491338716),GYMNASIUM,INDOOR,-87.60471883,41.78152949,2533
