facility_name,address,phone_number,zipcode,service_type,notes
A Safe Haven Foundation for Women and Children,2750 West Roosevelt Road,773-435-8300,60608,shelter,www.asafehaven.org
Franciscan House of Mary & Joseph,2715 W Harrison,773-278-6724,60612,shelter, www.franoutreach.org 
Pacific Garden Mission,1458 S Canal St,312 492-9410,60605,shelter,www.pgm.org
Deborah's Place,2822 West Jackson Blvd.,(773)722-5080,60612,shelter,www.deborahsplace.org
You Can Make It - Family Shelter,5050-5052 S. laflin,773-890-9681,60609,shelter,
Joshua Ministries Shelter,"200 S Sacramento Blvd, suite 400",(773) 533-0254,60612,shelter,www.thejoshuaministries.org
Breakthrough Urban Ministries,402 N St Louis Ave,(773) 346-1785,60624,shelter,
Darkim Responsible Living for Women Inc Nfp,"332 S Michigan Ave, Suite 1032",(312) 934-8203,60604,shelter,darkimincnfp.com
The Boulevard,3465 W. Franklin Boulevard,(773)533-6013,60624,shelter,www.blvd.org
Primo Center For Women And Children,4241 West Washington Boulevard,(773) 722-0544,60624,shelter, www.primocenter.org
Clara's House Shelter,1650 W 62nd St,(773) 778-2811,60636,shelter,www.clarashousechicago.org/ 
Open Door Outreach Center,2633 w Thomas,312-754-9600,60622,shelter,opdorc.org
The Night Ministry - Open Door Shelter,1110 N. Noble Street,773-506-4100,60622,shelter,www.thenightministry.org
La Posada Family Shelter - Casa Central,3209 W. Evergreen,(773) 782-8820,60651,shelter,www.casacentral.org
Inner Peace Corp,Southwest area,773-744-0613,60629,shelter,
The L.A.M. House Transitional Home,6739 S. Green,773-370-5571,60621,shelter,
La Casa Norte - Casa Corazon Emergency Beds Program,3533 W. North Avenue,773-276-4900,60647,shelter,www.lacasanorte.org/ 
St. Martin de Porres House of Hope  - For Women,6423 South Woodlawn Avenue,(773)643-5843,60644,shelter,www.smdp-hoh.org
Lincoln Park Community Services,600 W Fullerton Pkwy,(773) 549-6111,60614,shelter,lpcsonline.org/ 
St. Sabina Young Adult Samaritan Program Transitional Housing,7909 S Racine Ave,773 783-3760,60620,shelter,saintsabina.org
Broadway Youth Center,4009 N Broadway,773-299-7600,60613,shelter,www.howardbrown.org/byc 
North Side Housing and Supportive Services,"4410 N. Ravenswood,  suite 101",(773) 244-6401,60640,shelter,www.northsidehousing.org 
Housing Forward,1851 S 9th St,708-338-1724,60513,shelter,www.housingforward.org/ 
Cornerstone Community Outreach,4628 N Clifton Ave,(773) 271-8163,60640,shelter,www.ccolife.org/ 
Sarah's Circle,4838 N Sheridan Rd,773-728-1991,60640,shelter,www.sarahs-circle.org/ 
BEDS Plus,PO Box 2035,708-354-0858,60558,shelter,beds-plus.org/shelters.html
Roseland Christian Ministries Grow Program,10858 S. Michigan Ave,7732645665,10858,shelter,www.roselandchristianministries.org/ 
Oaklawn Pads - South Suburban PADS NORTH TIER,10037 South Ridgeland Avenue,708-233-1221,10037,shelter, www.sspads.org
Believe shelter (Institution for women and kids),9519 South Commercial Ave,773-374-7705,60617,shelter,margaretsvillage.org/ 
A Little Bit of Heaven Homeless Mens Overnight Shelter,11321 South Wentworth Ave,1-773-264-5332,11321,shelter, www.alboh.org
The Ark,6450 N Califormia Avenue,(773)973-1000,60645,shelter,www.arkchicago.org
HRDI Women's Supportive Housing,33 E. 114th Street,773-660-4630,60628,shelter,www.hrdi.org
Victory House - For Women,13905 S. Atlantic,708-880-1470,13905,shelter,
Family Promise Chicago North Shore,1417 Hinman,847-475-4500,60201,shelter,www.fpcnorthshore.org
Hilda's Place Transitional Shelter,1458 Chicago Avenue,(847) 424-0945,60201,shelter,www.cfthinc.org
Connections for the Homeless - Evanston,1458 Chicago Ave.,847-424-0945 ext 15,60201,shelter,www.connect2home.org
Mary Lou's Place - Domestic Violence Shelter,1215 Church St,,60201,shelter,
The Harbour,1440 Renaissance Drive Suite 240,847-297-8541,60068,shelter,www.theharbour.org/ 
Crisis Center for South Suburbia,P O Box 39,708-429-7255,60477,shelter, www.crisisctr.org 
Haven House - Family Advocacy Center,P.O. Box 508,219-931-2090,46320,shelter,www.havenhouse.org
South Suburban PADS SOUTH TIER,414 W. Lincoln Highway,708-754-4357,60411,shelter,www.sspads.org
Respond Now,1439 Emerald Avenue,(708)755-4357,60412,shelter, www.respondnow.org
Gary Commission for Women/The Rainbow Shelter,"839 Broadway, 3rd Floor",(219) 883-4155,46402,shelter,
JOURNEYS - The Road Home,1140 E. Northwest Highway,(847) 963-9163,60074,shelter,www.journeystheroadhome.org 
Bakery House,4913 Broadway,(219) 670-3625,46409,shelter, www.rebuildingthebreach.org/bakeryhouse.html
Catholic Charities Daybreak Center,611 East Cass Street,815-774-4663,60432,shelter,catholiccharitiesjoliet.org
MorningStar Mission Ministries Inc.,350 East Washington Street,(815)722-5780,60433,shelter,
