SITE TYPE,SITE NAME,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,MONDAY-OPEN,MONDAY-CLOSE,TUESDAY-OPEN,TUESDAY-CLOSE,WEDNESDAY-OPEN,WEDNESDAY-CLOSE,THURSDAY-OPEN,THURSDAY-CLOSE,FRIDAY-OPEN,FRIDAY-CLOSE,SATURDAY-OPEN,SATURDAY-CLOSE,SUNDAY-OPEN,SUNDAY-CLOSE,ADDITIONAL NOTES,LOCATION
Regional Senior Center,Northeast,Mon - Fri 8:30 A.M. To 4:30 P.M. Sat 9:00 A.M. To 4:00 P.M.,2019 W Lawrence Ave,Chicago,IL,60625,(312) 744-0784,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,9:00AM,4:00PM,CLOSED,CLOSED,Seniors Only At This Location,"2019 Lawrence Ave
Chicago, IL 60625
(41.968694977057105, -87.67975768517618)"
Regional Senior Center,Southwest,Mon - Fri 8:30 A.M. To 4:30 P.M. Sat 9:00 A.M. To 4:00 P.M.,6117 S Kedzie Ave,Chicago,IL,60629,(312) 747-0440,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,9:00AM,4:00PM,CLOSED,CLOSED,Seniors Only At This Location,"6117 Kedzie Ave
Chicago, IL 60629
(41.78229468702299, -87.70315660949412)"
Regional Senior Center,Northwest,Mon - Fri 8:30 A.M. To 4:30 P.M. Sat - Sun 9:00 A.M. To 4:00 P.M,3160 N Milwaukee Ave,Chicago,IL,60618,(312) 744-6681,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,9:00AM,4:00PM,9:00AM,4:00PM,Seniors Only At This Location,"3160 Milwaukee Ave
Chicago, IL 60618
(41.938325732152336, -87.72265595766675)"
Regional Senior Center,Central West,Mon - Fri 8:30 A.M. To 4:30 P.M. ,2102 W Ogden Ave,Chicago,IL,60612,(312) 746-5300,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,CLOSED,CLOSED,CLOSED,CLOSED,Seniors Only At This Location,"2102 Ogden Ave
Chicago, IL 60612
(41.870607218318284, -87.67907470907325)"
Regional Senior Center,Southeast,Mon - Fri 8:30 A.M. To 4:30 P.M. Sat - Sun 9:00 A.M. To 4:00 P.M,1767 E 79th St,Chicago,IL,60649,(312) 747-0189,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,9:00AM,4:00PM,9:00AM,4:00PM,Seniors Only At This Location,"1767 79th St
Chicago, IL 60649
(41.75148528422407, -87.58127911489927)"
Regional Senior Center,Renaissance Court,Mon - Fri 8:30 A.M. To 4:30 P.M. ,78 E Washington St,Chicago,IL,60602,(312) 744-4550,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,8:30AM,4:30PM,CLOSED,CLOSED,CLOSED,CLOSED,Seniors Only At This Location,"78 Washington St
Chicago, IL 60602
(41.88327494122517, -87.62522219047514)"
Community Service Center,North Area Center,Mon - Fri 9:00 A.M. To 5:00 P.M.,845 W Wilson Ave,Chicago,IL,60640,311,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,,"4740 Sheridan Rd
Chicago, IL 60640
(41.96800354653189, -87.65488723277781)"
Community Service Center,Englewood Center,Mon - Fri 9:00 A.M. To 5:00 P.M.,1140 W 79th St,Chicago,IL,60620,311,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,,"1140 79th St
Chicago, IL 60620
(41.75052412095545, -87.65293166824182)"
Community Service Center,Garfield Center,Mon - Fri 9:00 A.M. To 5:00 P.M.,10 S Kedzie Ave,Chicago,IL,60612,311,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,"Emergency shelter requests available 24 hours a day, call 3-1-1 for more information.","10 Kedzie Ave
Chicago, IL 60612
(41.88083351336819, -87.70617830105714)"
Community Service Center,King Center,Mon - Fri 9:00 A.M. To 5:00 P.M.,4314 S Cottage Grove Ave,Chicago,IL,60653,311,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,,"4314 Cottage Grove Ave
Chicago, IL 60653
(41.81627355451758, -87.60669752271548)"
Community Service Center,South Chicago Center,Mon - Fri 9:00 A.M. To 5:00 P.M.,8650 S Commercial Ave,Chicago,IL,60617,311,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,,"8650 Commercial Ave
Chicago, IL 60617
(41.73767280915678, -87.55147015689619)"
Police Station,District 1,Open Saturday And Sunday,1718 S State St,Chicago,IL,60616,(312) 745-4290,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"1718 State St
Chicago, IL 60616
(41.85875348329675, -87.62736911979094)"
